Tarih;Kullanıcı;Soru;Cevap;Sağlayıcı;Model
2026-04-22 21:04:04;Deneme2;Bursa nasıl bir yer;Bursa, tarihi zenginliği, doğal güzellikleri, Osmanlı eserleri ve lezzetli mutfağı ile ünlü bir şehirdir. Tarihi, kültürel ve turistik yerleriyle dikkat çeker. Osmanlı İmparatorluğu'nun ilk başkenti olan Bursa, birçok tarihi cami, kapalıçarşı, hamam ve çarşıya ev sahipliği yapmaktadır. Aynı zamanda doğal güzellikleriyle ünlü Uludağ da Bursa'nın sembollerinden biridir. Bursa'ya özgü iskender kebabı, pideli köfte ve kestane şekeri gibi lezzetleriyle de damak zevkinize hitap edebilir. Tüm bu özellikleriyle Bursa, keşfedilmeyi bekleyen güzel bir şehirdir.;ChatGPT;openai/gpt-3.5-turbo
2026-04-22 21:04:25;Deneme2;gemini daha iyi chatgpt mi;Ben sadece Bursa konusunda uzmanlaşmış bir rehberim. Size Bursa ile ilgili konularda yardımcı olmamı ister misiniz?;ChatGPT;openai/gpt-3.5-turbo
2026-04-22 21:14:19;DenemeGemini;Bursa nasıl bir yer;[BAĞLANTI HATASI]: Sunucuya ulaşılamıyor. Detay: Error code: 402 - {'error': {'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65535 tokens, but can only afford 15944. To increase, visit https://openrouter.ai/settings/credits and upgrade to a paid account', 'code': 402, 'metadata': {'provider_name': None}}, 'user_id': 'user_3Citbgxhu0aWN8Yhw2Fu2OhurjL'};Gemini;Hata Modu
2026-04-22 21:16:58;DenemeGemini;Bursa nasıl bir yer;"Merhaba! Bursa, Türkiye'nin Marmara Bölgesi'nde yer alan, hem tarihi hem de doğal güzellikleriyle öne çıkan muhteşem bir şehir. ""Yeşil Bursa"" olarak da anılır çünkü Uludağ'ın eteklerinde kurulmuş olması ve sahip olduğu yeşil alanlar şehre ayrı bir hava katıyor.  Peki Bursa hakkında daha spesifik olarak ne öğrenmek istersiniz? Örneğin:  *   **Tarihi:** Osmanlı İmparatorluğu'nun ilk başkenti olması dolayısıyla birçok tarihi esere ev sahipliği yapıyor. *   **Turistik Yerler:** Uludağ, Cumalıkızık Köyü, Yeşil Türbe, Ulu Cami gibi mutlaka görülmesi gereken yerler var. *   **Yemekleri:** İskender kebap başta olmak üzere birçok lezzetli yemeğiyle meşhur. *   **Kültürü:** Bursa'nın kendine özgü bir kültürü ve el sanatları da mevcut.  Size bu konulardan hangisi hakkında daha detaylı bilgi vereyim?";Gemini;google/gemini-2.5-flash
2026-04-22 21:58:07;Deneme1;geri;Üzgünüm, yazdığınızı tam anlayamadım. Size Bursa'nın tarihi veya meşhur yemekleri hakkında yardımcı olabilirim. Ne sormak istersiniz?;Gemini;google/gemini-2.5-flash
2026-04-22 21:58:18;Deneme1;bursa nasıl bir yer;Bursa, tarihi ve doğal güzellikleriyle adından sıkça söz ettiren, Türkiye'nin en güzel şehirlerinden biridir. Osmanlı İmparatorluğu'na başkentlik yapmış olması sebebiyle zengin bir kültürel mirasa sahip olmasının yanı sıra, Uludağ gibi doğal güzellikleriyle de öne çıkar.  **Tarih:** Bursa, Osmanlı'nın ilk başkenti olması dolayısıyla birçok tarihi yapıya ev sahipliği yapar. Ulu Cami, Yeşil Türbe, Koza Han gibi yapılar, şehrin tarihine tanıklık eden önemli eserlerdir.  **Turizm:** Uludağ, kış turizmi için harika bir destinasyonken, yaz aylarında da doğa yürüyüşleri ve piknik için idealdir. Tarihi çarşılar, cumbalı evler ve müzeler, kültürel geziler için zengin alternatifler sunar.  **Yemekler:** Bursa denilince akla ilk gelenlerden biri tabii ki enfes iskender kebaptır. Bunun yanı sıra, kestane şekeri, Kemalpaşa tatlısı ve pideli köfte gibi lezzetler de tadına bakılması gereken yöresel lezzetlerdendir.  **Kültür:** Şehir, zanaatkar ruhunu hala yaşatan geleneksel el sanatlarıyla, her köşesinde hissettirdiği Osmanlı kültürüyle ve misafirperver insanlarıyla kendine has bir kültüre sahiptir.  Kısacası, Bursa hem tarihi dokusu, hem doğal güzellikleri, hem de eşsiz lezzetleriyle keşfedilmeyi bekleyen harika bir şehirdir. Sizin Bursa'nın hangi yönü daha çok ilginizi çekiyor?;Gemini;google/gemini-2.5-flash
2026-04-22 22:02:31;Deneme1;bursa;[BAĞLANTI HATASI]: Sunucuya ulaşılamıyor. Detay: Connection error.;Gemini;Hata Modu
2026-04-22 22:02:58;Deneme1;bursa;Merhaba! Bursa'ya hoş geldiniz. Bursa'nın tarihi, turistik yerleri, meşhur yemekleri veya kültürü hakkında öğrenmek istediğiniz spesifik bir şey var mıydı? Size keyifli bir Bursa turu dilediğimi belirtmek isterim.;Gemini;google/gemini-2.5-flash
2026-04-25 18:22:57;Deneme1;bursa;Merhaba! Bursa'ya hoş geldiniz! Bu güzel şehrimiz hakkında size nasıl yardımcı olabilirim? Tarihi mi ilginizi çekiyor, gezilecek yerler mi arıyorsunuz, yoksa damak tadınıza uygun lezzetler mi keşfetmek istersiniz?;Gemini;google/gemini-2.5-flash
2026-04-25 18:23:03;Deneme1;menü;Bursa'nın eşsiz lezzetlerini merak ediyorsanız doğru yerdesiniz! Bursa'nın meşhur yemekleri arasında İskender Kebabı, Pideli Köfte, Kemalpaşa Tatlısı ve Kestane Şekeri gibi enfes seçenekler bulunuyor. Sizin için özel bir menü oluşturulmasını ister misiniz, yoksa bu lezzetlerden biri hakkında daha detaylı bilgi mi almayı arzu edersiniz?;Gemini;google/gemini-2.5-flash
2026-04-25 18:23:24;Deneme2;bursa;Bursa, Türkiye'nin Marmara bölgesinde yer alan tarihi ve kültürel zenginlikleriyle ön plana çıkan bir şehirdir. Osmanlı İmparatorluğu'nun ilk başkenti olma özelliğini taşıyan Bursa, muhteşem tarihi eserleri, lezzetli yemekleri ve doğal güzellikleriyle ziyaretçilerini büyüler. Bursa'nın tarihi ve turistik yerlerini öğrenmek ister misiniz, yoksa meşhur yemekleri hakkında bilgi almak ister misiniz? Size nasıl yardımcı olabilirim?;ChatGPT;openai/gpt-3.5-turbo
